media_type, title, status, release_date, episode_count
"1", "0", "FINISHED", "2013-10-01", "1"
"1", "Aesop"" no Ohanashi yori: Ushi to Kaeru, Yokubatta In", "FINISHED", "1970-01-01", "1"
"1", "Bungaku Shoujo"" Kyou no Oyatsu: Hatsuko", "FINISHED", "2009-10-01", "1"
"1", "Bungaku Shoujo"" Memoir", "FINISHED", "2010-04-01", "3"
"1", "Bungaku Shoujo"" Movi", "FINISHED", "2010-04-01", "1"
"1", "Calpis"" Hakkou Monogatar", "FINISHED", "2018-04-01", "1"
"1", "Eiji", "UNKNOWN", "1990-01-01", "1"
"1", "Eiji", "FINISHED", "1990-07-01", "1"
"1", "Eikou Naki Tensai-tachi"" Kara no Monogatar", "UNKNOWN", "2017-01-01", "2"
"1", "Eikou Naki Tensai-tachi"" kara no Monogatar", "FINISHED", "2017-01-01", "2"
"1", "Eikou Naki Tensai-tachi"" Kara no Monogatar", "FINISHED", "2017-04-01", "2"
"1", "Eiyuu"" Kaita", "FINISHED", "2016-10-01", "1"
"1", "Fragtime"" x ""Kine-Pass", "FINISHED", "2019-01-01", "1"
"1", "Hataraku Saibou!!"" Saikyou no Teki, Futatabi. Karada no Naka wa ""Chou"" Oosawagi", "FINISHED", "2020-07-01", "1"
"1", "hitman"" bang: I=Fantas", "UNKNOWN", "2011-01-01", "1"
"1", "Kinako"" Movie x Mameshib", "FINISHED", "2010-07-01", "1"
"1", "Kinako"" x Mameshiba Movi", "FINISHED", "2010-07-01", "1"
"1", "Kiss Dekiru Gyoza"" x Mameshiba Movi", "FINISHED", "2018-04-01", "2"
"1", "Parade"" de Sati", "FINISHED", "2016-04-01", "1"
"1", "R100"" x Mameshiba Original Manner", "FINISHED", "2013-07-01", "1"
"1", "RUNNINGMAN", "FINISHED", "2012-01-01", "1"
"1", "Star""", "FINISHED", "2019-10-01", "1"
"1", "Tokyo", "FINISHED", "2017-10-01", "1"
"1", "Compas", "CURRENTLY", "2018-07-01", "0"
"1", "Compas", "UNKNOWN", "2000-01-01", "10"
"1", "Twas the Night Before Christma", "FINISHED", "1974-01-01", "1"
"1", "a long day of) Mr. Calpacci", "FINISHED", "2005-01-01", "1"
"1", "Making of) Evangelion: Another Impac", "UNKNOWN", "2015-01-01", "1"
"1", "* Kouha", "CURRENTLY", "2020-01-01", "0"
"1", "Hello, Planet", "FINISHED", "2012-04-01", "1"
"1", "Luna: classroo", "UNKNOWN", "2017-01-01", "1"
"1", "Luna: Main Characte", "UNKNOWN", "2016-01-01", "1"
"1", "A-Channe", "UNKNOWN", "2011-01-01", "11"
"1", "hack // The Movi", "UNKNOWN", "2012-01-01", "1"
"1", "hack//G.U. Returne", "FINISHED", "2007-01-01", "1"
"1", "hack//G.U. Trilog", "FINISHED", "2008-01-01", "1"
"1", "hack//G.U. Trilogy Parod", "UNKNOWN", "2008-01-01", "1"
"1", "hack//G.U. Trilogy: Parody Mod", "FINISHED", "2008-01-01", "1"
"1", "hack//Gif", "FINISHED", "2003-10-01", "1"
"1", "hack//Intermezz", "FINISHED", "2003-01-01", "1"
"1", "hack//Liminalit", "FINISHED", "2002-04-01", "4"
"1", "hack//Quantu", "FINISHED", "2011-01-01", "3"
"1", "hack//Quantum: Sore ike! Bokura no Chimuchimu-chan!", "FINISHED", "2011-01-01", "3"
"1", "hack//Root", "FINISHED", "2006-04-01", "26"
"1", "hack//Sig", "FINISHED", "2002-04-01", "26"
"1", "hack//SIGN - Intermezz", "UNKNOWN", "2003-01-01", "1"
"1", "hack//SIGN - Uniso", "UNKNOWN", "2003-01-01", "1"
"1", "hack//Tasogare no Udewa Densets", "FINISHED", "2003-01-01", "12"
"1", "hack//Tasogare no Udewa Densetsu - Offline de Aimasho", "FINISHED", "2003-01-01", "1"
"1", "hack//Tasogare no Udewa Densetsu: Offline de Aimasho", "FINISHED", "2003-10-01", "1"
"1", "hack//The Movie: Sekai no Mukou n", "FINISHED", "2012-01-01", "1"
"1", "hack//Uniso", "FINISHED", "2003-10-01", "1"
"1", "hack//Versus: The Thanatos Repor", "FINISHED", "2012-04-01", "1"
"1", " Hao Sush", "FINISHED", "2018-01-01", "14"
"1", "-sen Hayat", "FINISHED", "1964-01-01", "38"
"1", "-sen Hayato Pilo", "FINISHED", "1985-01-01", "1"
"1", "0", "FINISHED", "2013-01-01", "1"
"1", "09 Re:Cybor", "FINISHED", "2012-10-01", "1"
"1", "09 Re:Cyborg x Zi", "FINISHED", "2012-10-01", "10"
